NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;222.1462;88.2889;62;10504.9555;6733;644;1.4388;28;0;11;41;21;45;21;4141;446;61;108
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;155;0.0000;8739;17;0.9577;35;4;3;99;56;82;1;8651;16;957;1212
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;224.9943;91.1369;64;10442.2989;6674;659;1.5142;30;0;9;41;23;46;23;4102;455;61;108
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.2948;0.922811;101.0984;45.9291;3554;1620.5471;92092;33306;3.5984;342;75;71;1727;1827;1857;1828;73813;28595;65466;99198
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.5719;0.920966;103.7735;47.4153;3669;1640.3325;92647;34282;3.6620;355;83;72;1786;1883;1916;1881;74252;29435;66073;109097
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;161;0.0000;9164;21;0.9571;34;5;3;102;59;86;1;9071;19;985;1250
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;232.1143;86.8648;61;10456.5390;6718;625;1.4357;27;0;7;39;22;44;22;4160;437;61;107
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;Si;;;242.0824;109.6491;77;11010.4807;6910;822;1.6763;29;0;7;53;24;57;24;4271;561;66;111
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;No;96.8791;0.894252;108.3354;48.3845;3744;1647.9055;91706;35809;3.6850;393;88;74;1724;2020;1810;2028;73352;30799;63981;119088
CATALUNYA;GLOBAL;2021-09-03;2021-09-09;--;;;0.0000;0.0000;162;0.0000;9104;19;0.9535;30;5;3;101;61;85;1;9003;16;1012;1395
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;--;;;0.0000;0.0000;173;0.0000;9223;21;1.0723;28;5;3;111;62;96;2;9121;18;1028;1491
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;Si;;;262.0186;113.9211;80;12247.9494;7763;838;1.5593;30;0;9;49;31;53;31;4832;555;82;130
CATALUNYA;GLOBAL;2021-09-02;2021-09-08;No;98.0824;0.860892;113.9311;49.5864;3837;1678.8954;92510;37403;3.6834;422;89;71;1742;2095;1802;2108;73996;32156;63715;132699
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;No;98.8239;0.828763;119.2426;50.7882;3930;1701.5240;93295;38369;3.7036;430;103;75;1775;2155;1837;2146;74422;33121;62465;148269
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;--;;;0.0000;0.0000;166;0.0000;9114;19;1.0850;30;5;2;108;58;96;2;9016;16;1028;1580
CATALUNYA;GLOBAL;2021-09-01;2021-09-07;Si;;;260.5946;126.7372;89;13093.8140;8361;834;1.5687;31;0;11;66;23;68;23;5255;546;74;135
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;--;;;0.0000;0.0000;179;0.0000;9024;16;1.2202;27;6;2;115;64;107;2;8919;14;1024;1575
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;280.5308;138.1294;97;13506.7783;8510;975;1.8630;35;1;14;70;27;84;27;5350;608;77;126
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;100.715;0.804017;125.2648;52.0159;4025;1728.9471;92677;41109;3.7604;449;103;74;1767;2258;1873;2245;73916;35594;60130;168958
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;105.729;0.789932;133.8458;54.3809;4208;1770.1981;93095;43883;3.8440;452;105;66;1771;2437;1887;2420;74069;37976;60248;165025
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;191;0.0000;9084;20;1.2999;31;5;1;119;72;114;3;8983;18;1009;1484
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;283.3789;133.8573;94;13284.6320;8259;1070;1.8207;36;1;17;66;28;79;28;5230;647;78;115
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;286.2269;133.8573;94;13408.5213;8270;1146;1.8026;35;1;18;67;27;80;27;5231;705;78;117
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.073;0.78171;136.9733;55.1692;4269;1792.7232;93239;45482;3.8691;454;109;64;1805;2464;1931;2466;74190;39455;60297;168300
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;196;0.0000;9075;20;1.3227;32;5;0;121;75;116;3;8980;17;1007;1379
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;200;0.0000;8995;22;1.3227;33;5;0;119;81;114;4;8901;20;994;1332
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;336.0674;145.2494;102;13690.4761;8392;1222;1.8119;39;1;20;75;27;83;27;5322;749;79;120
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;109.72;0.775783;141.4318;56.3582;4361;1803.4495;92309;47242;3.9283;482;101;67;1826;2535;1961;2537;73403;41099;59730;168269
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.449;0.772598;150.7236;59.9508;4639;1825.1089;91580;49647;4.1468;495;96;65;1950;2689;2110;2701;72718;43300;60313;179225
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;227;0.0000;8926;25;1.5021;31;4;0;135;92;129;4;8830;24;1041;1264
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;347.4595;132.4333;93;14193.1533;8774;1193;1.5948;36;1;19;66;27;74;27;5603;730;76;130
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;243;0.0000;9194;27;1.5359;37;3;0;146;97;136;4;9089;26;1084;1210
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;371.6678;148.0975;104;14217.3615;8659;1325;1.7755;35;1;19;82;22;90;22;5483;825;69;129
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.128;0.774098;160.3514;64.3447;4979;1820.8700;89249;51650;4.4557;507;103;69;2072;2907;2252;2911;70771;45103;58675;189352
