NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-08-11;2020-08-17;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-08-11;2020-08-17;No;289.134;3.16494;63.9488;28;712.5727;312;7.4194;1;0;1
ALT CAMP;01;2020-08-10;2020-08-16;No;237.002;3.24286;63.9488;28;680.5983;298;9.1525;0;0;0
ALT CAMP;01;2020-08-10;2020-08-16;Si;;;0.0000;0;1391.6500;7;0.0000;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;Si;;;0.0000;0;1391.6500;7;0.0000;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;No;217.459;3.07143;61.6649;27;666.8950;292;8.9965;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;No;152.694;2.78571;45.6777;20;618.9334;271;6.3197;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;Si;;;0.0000;0;1590.4572;8;0.0000;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;No;99.3491;2.07143;36.5421;16;614.3656;269;5.9925;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;No;63.6226;1.54762;25.1227;11;566.4040;248;4.4898;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;Si;;;0.0000;0;1590.4572;8;0.0000;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;No;41.1208;0.947619;22.8388;10;564.1201;247;4.0984;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;Si;;;0.0000;0;1590.4572;8;0.0000;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;Si;;;0.0000;0;1590.4572;8;0.0000;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;No;28.9727;0.704762;27.4066;12;456.7774;200;6.0914;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;Si;;;0.0000;0;994.0357;5;0.0000;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;No;9.57057;0.419048;9.1355;4;436.2224;191;2.1164;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;No;12.8333;0.561905;9.1355;4;436.2224;191;2.1164;0;0;0
ALT CAMP;01;2020-08-01;2020-08-07;No;22.6214;0.990476;9.1355;4;532.1457;233;1.7316;1;0;0
ALT CAMP;01;2020-08-01;2020-08-07;Si;;;0.0000;0;994.0357;5;0.0000;0;0;0
ALT CAMP;01;2020-07-31;2020-08-06;No;38.9348;1.70476;11.4194;5;500.1712;219;1.8433;1;0;0
ALT CAMP;01;2020-07-31;2020-08-06;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-07-30;2020-08-05;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-07-30;2020-08-05;No;55.9879;2.22857;15.9872;7;507.0229;222;3.1674;1;0;0
ALT CAMP;01;2020-07-29;2020-08-04;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-07-29;2020-08-04;No;63.8183;2.32857;20.5549;9;488.7518;214;4.7170;1;0;0
ALT CAMP;01;2020-07-28;2020-08-03;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-07-28;2020-08-03;No;41.7625;2.28571;13.7033;6;534.4295;234;2.5862;1;0;0
ALT CAMP;01;2020-07-27;2020-08-02;No;52.2031;2.28571;13.7033;6;497.8874;218;2.7778;1;0;0
ALT CAMP;01;2020-07-27;2020-08-02;Si;;;0.0000;0;1391.6500;7;0.0000;0;0;0
ALT CAMP;01;2020-07-26;2020-08-01;Si;;;0.0000;0;1391.6500;7;0.0000;0;0;0
ALT CAMP;01;2020-07-26;2020-08-01;No;48.9404;2.14286;13.7033;6;500.1712;219;2.7650;1;0;0
ALT CAMP;01;2020-07-25;2020-07-31;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-07-25;2020-07-31;No;40.7837;1.78571;13.7033;6;395.1124;173;3.5088;0;0;0
ALT CAMP;01;2020-07-24;2020-07-30;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-07-24;2020-07-30;No;27.8961;1.35714;11.4194;5;388.2608;170;3.5714;0;0;0
ALT CAMP;01;2020-07-23;2020-07-29;Si;;;0.0000;0;1192.8429;6;0.0000;0;0;0
ALT CAMP;01;2020-07-23;2020-07-29;No;16.966;0.928571;9.1355;4;374.5574;164;2.4691;0;0;0
ALT CAMP;01;2020-07-22;2020-07-28;No;15.6609;1.14286;6.8516;3;354.0025;155;0.6452;0;0;0
ALT CAMP;01;2020-07-22;2020-07-28;Si;;;0.0000;0;994.0357;5;0.0000;0;0;0
ALT CAMP;01;2020-07-21;2020-07-27;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-21;2020-07-27;No;15.4978;1.35714;4.5677;2;308.3247;135;0.7407;0;0;0
ALT CAMP;01;2020-07-20;2020-07-26;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-20;2020-07-26;No;18.7605;1.64286;9.1355;4;312.8925;137;1.4599;0;0;0
ALT CAMP;01;2020-07-19;2020-07-25;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-19;2020-07-25;No;22.5126;1.64286;9.1355;4;301.4731;132;1.5152;0;0;0
ALT CAMP;01;2020-07-18;2020-07-24;No;23.4914;1.71429;9.1355;4;283.2020;124;1.6129;0;0;0
ALT CAMP;01;2020-07-18;2020-07-24;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-17;2020-07-23;No;26.9716;1.47619;9.1355;4;244.3759;107;1.8692;0;0;0
ALT CAMP;01;2020-07-17;2020-07-23;Si;;;0.0000;0;198.8071;1;0.0000;0;0;0
ALT CAMP;01;2020-07-16;2020-07-22;Si;;;0.0000;0;198.8071;1;0.0000;0;0;0
ALT CAMP;01;2020-07-16;2020-07-22;No;20.1743;1.2619;9.1355;4;239.8081;105;0.9615;0;0;0
ALT CAMP;01;2020-07-15;2020-07-21;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-15;2020-07-21;No;13.3227;0.833333;6.8516;3;242.0920;106;0.9524;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;No;11.0388;0.690476;6.8516;3;239.8081;105;0.9615;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;No;6.2535;0.547619;2.2838;1;253.5114;111;0.0000;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;No;11.1475;0.97619;4.5677;2;253.5114;111;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;No;12.7789;1.11905;4.5677;2;262.6470;115;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;No;17.1292;1.5;9.1355;4;244.3759;107;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;Si;;;0.0000;0;397.6143;2;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;No;17.9448;1.57143;6.8516;3;228.3887;100;0.0000;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;No;19.5762;1.71429;9.1355;4;214.6853;94;1.0638;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;Si;;;0.0000;0;198.8071;1;0.0000;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;Si;;;0.0000;0;198.8071;1;0.0000;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;No;21.5338;1.57143;9.1355;4;198.6981;87;1.1494;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;Si;;;0.0000;0;596.4214;3;0.0000;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;No;19.5762;1.42857;9.1355;4;162.1559;71;1.4085;0;0;0
ALT CAMP;01;2020-07-05;2020-07-11;Si;;;0.0000;0;596.4214;3;0.0000;0;0;0
ALT CAMP;01;2020-07-05;2020-07-11;No;11.4194;1.0;6.8516;3;155.3043;68;1.4706;0;0;0
ALT CAMP;01;2020-07-04;2020-07-10;Si;;;0.0000;0;795.2286;4;0.0000;0;0;0
ALT CAMP;01;2020-07-04;2020-07-10;No;9.78809;0.857143;6.8516;3;141.6010;62;1.6129;0;0;0
ALT CAMP;01;2020-07-03;2020-07-09;No;3.91524;0.571429;2.2838;1;139.3171;61;1.6393;0;0;0
